Instance name,n,n_prime,d,d_prime,c,c_prime,delta,delta_prime,D,D_prime
postoperative-patient-data,72,72,22,17,22,22,14,14,2,3
hayes-roth,84,84,15,15,15,15,8,8,2,2
lupus,86,79,3,2,126,78,3,2,75,53
appendicitis,106,106,7,7,523,460,7,7,99,98
molecular_biology_promoters,106,106,228,228,228,228,104,104,2,2
tae,106,106,5,5,96,94,5,5,46,45
cloud,108,108,7,7,585,555,7,7,108,100
cleveland-nominal,130,130,17,17,17,17,11,11,2,2
lymphography,148,148,50,37,50,50,26,23,2,3
hepatitis,155,155,39,28,355,335,28,25,85,85
glass2,162,162,9,9,709,667,9,9,136,132
backache,180,180,55,50,469,429,26,26,180,151
auto,202,202,52,35,961,916,31,29,184,182
glass,204,204,9,9,894,846,9,9,172,165
biomed,209,209,14,14,735,577,9,9,191,125
new-thyroid,215,214,5,5,329,232,5,5,100,73
spect,219,219,22,22,22,22,22,22,2,2
breast-cancer,266,266,31,25,40,40,15,15,11,11
heart-statlog,270,270,25,23,376,369,18,18,144,142
haberman,283,283,3,3,89,86,3,3,49,46
heart-h,293,293,29,22,325,318,19,19,154,154
hungarian,293,293,29,22,325,318,19,19,154,154
cleve,302,302,27,25,390,382,18,18,152,151
heart-c,302,302,27,25,390,382,18,18,152,151
cleveland,303,303,27,25,391,383,18,18,152,151
ecoli,327,326,7,5,351,233,6,5,81,59
schizo,340,340,14,14,2218,2209,14,14,203,203
bupa,341,341,5,5,307,302,5,5,94,94
colic,357,357,75,71,408,400,36,36,85,82
dermatology,366,366,129,101,188,188,57,53,61,61
cars,392,388,12,11,704,531,9,9,346,266
soybean,622,622,133,73,133,108,68,49,2,7
australian,690,690,18,16,1155,1119,16,15,350,350
diabetes,768,768,8,8,1246,1238,8,8,517,515
contraceptive,1358,1358,21,21,66,65,13,13,34,34
